,block_size,time,cr,cr_zip,mean_error
0,2,63.30918598175049,3.068095000706573,8.229772384947282,0.019534520462837185
1,4,38.88730001449585,3.530671361353278,8.253262035017707,0.01511568577819269
2,6,31.058650016784668,3.084731951320609,7.030180303204197,0.013418874441111972
3,8,28.76671314239502,2.741835448654774,6.217028838503925,0.0121903689006344
4,10,24.46918749809265,2.5351769647031857,5.738843546603389,0.011337753612187957
5,12,23.15339970588684,2.3992736723477934,5.432807575004633,0.010707544571912567
6,14,23.711862325668335,2.317525109440575,5.248453880479348,0.01023700347255537
7,16,23.869713306427002,2.250750021608938,5.099769322113593,0.009856776369709124
8,18,23.699376821517944,2.2218917431598935,5.0372146182081154,0.009608252836337754
9,20,23.327006816864014,2.183475613779571,4.952330425592613,0.009328885353564248
10,22,25.954524755477905,2.180174961462447,4.9461911315851745,0.0091521049400279
11,24,27.20360541343689,2.1607332282326532,4.90379251818249,0.00891854156567408
12,26,29.231138706207275,2.1616162580274105,4.907203409625154,0.00874309890811188
13,28,29.19409441947937,2.173785529996778,4.935909497083605,0.008606298713763665
14,30,33.32200002670288,2.174466821904885,4.93985153339318,0.00851273241452064
15,40,39.01300120353699,2.229640604065096,5.067911887305623,0.00791887411578584
16,50,48.91600680351257,2.3060848260915745,5.243243398239021,0.007521443581201078
17,60,57.66700005531311,2.4290151491222813,5.52665072922954,0.007161395153402104
18,80,76.18974113464355,2.586913123031168,5.89206820287673,0.006621814000576742
19,100,97.1841242313385,2.8739413295109606,6.549756548359597,0.006303601146583959
