,block_size,time,cr,cr_zip,mean_error
0,2,29.71459150314331,2.2184617665229283,6.236173926323483,0.009539003514641922
1,4,22.504729986190796,3.659323179576072,8.745199272452474,0.010665644391722252
2,6,24.77305793762207,3.344657978893321,7.670346582012513,0.009918215650754006
3,8,25.87598752975464,2.931939463223072,6.655191602259856,0.009224790373427407
4,10,24.890511751174927,2.5976395351954538,5.880402850524392,0.008628941340316441
5,12,24.037752151489258,2.3341119472943266,5.282772660402605,0.00805787213592775
6,14,27.385870218276978,2.153042593369544,4.87208894040243,0.007569648714334339
7,16,24.459513902664185,2.0089925206995956,4.546722954943663,0.007136956714306672
8,18,25.79359769821167,1.856663952626962,4.204036984116362,0.006766462395175317
9,20,27.00813627243042,1.8068762123118576,4.0931145188797995,0.006547774975275544
10,22,30.44746470451355,1.7171035044540814,3.891289195285879,0.006306578200821546
11,24,30.251357555389404,1.6560237791351473,3.754514700483438,0.006144122203987304
12,26,33.73837900161743,1.6027829637602393,3.6349874897072243,0.005947995654288808
13,28,36.64700198173523,1.5337742122078142,3.4799300698023656,0.005847352368270181
14,30,39.006630659103394,1.507262819054258,3.420624402024098,0.005756373262776698
15,40,48.36869764328003,1.4045262162480225,3.1911640667956136,0.0054030285328460674
16,60,58.71012544631958,1.3503594651438333,3.0720205619499676,0.004721260219416782
17,80,60.52041697502136,1.3917827608982667,3.1693713052729504,0.004413369055780949
18,100,67.9479992389679,1.564887205469695,3.565729529730822,0.004286170988197473
19,120,43.63000011444092,1.8549650520738863,4.22674307700725,0.0035979076106253515
20,140,59.66915559768677,1.8137945476033726,4.13377813482735,0.0035436415244980654
21,160,16.784998893737793,4.024588530890367,9.172268341286063,0.0026103816413594713
22,180,16.30499768257141,4.752258808918357,10.828022956284567,0.0022957735017703905
